Model,Config ID,Feature Set,Feature Count,Folds,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std
logistic,logistic_002,full,17,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logistic,logistic_002,ablated,14,5,0.9574999999999999,0.006419574557554422,1.0,0.0,0.8528138528138529,0.022232292840015315,1.0,0.0,0.920435979791927,0.012997620164619928,0.9885699830339549,0.0036172005970888316
knn,knn_002,full,17,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
knn,knn_002,ablated,14,5,0.91975,0.007134314087563022,1.0,0.0,0.722077922077922,0.02470758125562946,1.0,0.0,0.8384229327587569,0.01650550266158,0.9720843889560937,0.006845689065661903
perceptron,perceptron_002,full,17,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
perceptron,perceptron_002,ablated,14,5,0.9622499999999998,0.01043581573237089,0.951600659530175,0.05559156957705616,0.9207792207792208,0.045752476504295585,0.9790861159929701,0.02521218114647353,0.9339016480214848,0.016887934440425623,0.9852536157457072,0.0072679239406732874
mlp,mlp_016,full,17,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
mlp,mlp_016,ablated,14,5,0.9798749999999998,0.0038880827537489406,0.9995337995337994,0.0010424559335663497,0.9307359307359307,0.013254814625450065,0.9998242530755711,0.0003929820698593875,0.9638706696227789,0.007203743097029908,0.9885391702614902,0.004110755215723104
random_forest,random_forest_001,full,17,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
random_forest,random_forest_001,ablated,14,5,0.9795,0.0038628842850906005,0.991326649205009,0.0069036421065479915,0.9372294372294372,0.01049281354419116,0.9966608084358523,0.0026653340752377714,0.9634917395053548,0.006966528144259389,0.9825898325458958,0.005993368007876574
