Model,Config ID,Feature Set,Fold,Feature Count,Train Rows,Validation Rows,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC,TN,FP,FN,TP
logistic,logistic_002,full,1,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
logistic,logistic_002,full,2,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
logistic,logistic_002,full,3,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
logistic,logistic_002,full,4,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
logistic,logistic_002,full,5,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
logistic,logistic_002,ablated,1,14,6400,1600,0.963125,1.0,0.8722943722943723,1.0,0.9317919075144508,0.9879145459110309,1138,0,59,403
logistic,logistic_002,ablated,2,14,6400,1600,0.95,1.0,0.8268398268398268,1.0,0.9052132701421801,0.9874048037492678,1138,0,80,382
logistic,logistic_002,ablated,3,14,6400,1600,0.95125,1.0,0.8311688311688312,1.0,0.9078014184397163,0.9851204741362914,1138,0,78,384
logistic,logistic_002,ablated,4,14,6400,1600,0.963125,1.0,0.8722943722943723,1.0,0.9317919075144508,0.994723788221152,1138,0,59,403
logistic,logistic_002,ablated,5,14,6400,1600,0.96,1.0,0.8614718614718615,1.0,0.9255813953488372,0.9876863031520324,1138,0,64,398
knn,knn_002,full,1,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
knn,knn_002,full,2,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
knn,knn_002,full,3,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
knn,knn_002,full,4,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
knn,knn_002,full,5,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
knn,knn_002,ablated,1,14,6400,1600,0.92,1.0,0.7229437229437229,1.0,0.8391959798994975,0.9714363697228372,1138,0,128,334
knn,knn_002,ablated,2,14,6400,1600,0.916875,1.0,0.7121212121212122,1.0,0.831858407079646,0.9763407360068168,1138,0,133,329
knn,knn_002,ablated,3,14,6400,1600,0.911875,1.0,0.6948051948051948,1.0,0.8199233716475096,0.9612091920967141,1138,0,141,321
knn,knn_002,ablated,4,14,6400,1600,0.93125,1.0,0.7619047619047619,1.0,0.8648648648648649,0.9791994765632727,1138,0,110,352
knn,knn_002,ablated,5,14,6400,1600,0.91875,1.0,0.7186147186147186,1.0,0.836272040302267,0.9722361703908277,1138,0,130,332
perceptron,perceptron_002,full,1,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
perceptron,perceptron_002,full,2,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
perceptron,perceptron_002,full,3,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
perceptron,perceptron_002,full,4,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
perceptron,perceptron_002,full,5,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
perceptron,perceptron_002,ablated,1,14,6400,1600,0.96875,0.9537444933920705,0.9372294372294372,0.9815465729349736,0.9454148471615721,0.9881114052906672,1117,21,29,433
perceptron,perceptron_002,ablated,2,14,6400,1600,0.965,0.9393939393939394,0.9393939393939394,0.9753954305799648,0.9393939393939394,0.9868265887598049,1110,28,28,434
perceptron,perceptron_002,ablated,3,14,6400,1600,0.95625,1.0,0.8484848484848485,1.0,0.9180327868852459,0.9725433471039798,1138,0,70,392
perceptron,perceptron_002,ablated,4,14,6400,1600,0.97375,1.0,0.9090909090909091,1.0,0.9523809523809523,0.9909463705597273,1138,0,42,420
perceptron,perceptron_002,ablated,5,14,6400,1600,0.9475,0.8648648648648649,0.9696969696969697,0.9384885764499121,0.9142857142857143,0.9878403670143563,1068,70,14,448
mlp,mlp_016,full,1,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
mlp,mlp_016,full,2,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
mlp,mlp_016,full,3,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
mlp,mlp_016,full,4,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
mlp,mlp_016,full,5,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
mlp,mlp_016,ablated,1,14,6400,1600,0.980625,1.0,0.9329004329004329,1.0,0.9652855543113102,0.9860543674251935,1138,0,31,431
mlp,mlp_016,ablated,2,14,6400,1600,0.975,1.0,0.9134199134199135,1.0,0.9547511312217195,0.9885745478891349,1138,0,40,422
mlp,mlp_016,ablated,3,14,6400,1600,0.978125,0.9976689976689976,0.9264069264069265,0.9991212653778558,0.9607182940516273,0.9844319418133126,1137,1,34,428
mlp,mlp_016,ablated,4,14,6400,1600,0.985625,1.0,0.9502164502164502,1.0,0.974472807991121,0.995212608130007,1138,0,23,439
mlp,mlp_016,ablated,5,14,6400,1600,0.98,1.0,0.9307359307359307,1.0,0.9641255605381166,0.9884223860498026,1138,0,32,430
random_forest,random_forest_001,full,1,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
random_forest,random_forest_001,full,2,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
random_forest,random_forest_001,full,3,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
random_forest,random_forest_001,full,4,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
random_forest,random_forest_001,full,5,17,6400,1600,1.0,1.0,1.0,1.0,1.0,1.0,1138,0,0,462
random_forest,random_forest_001,ablated,1,14,6400,1600,0.9775,0.9863013698630136,0.935064935064935,0.9947275922671354,0.96,0.9790064212296199,1132,6,30,432
random_forest,random_forest_001,ablated,2,14,6400,1600,0.975625,0.9862068965517241,0.9285714285714286,0.9947275922671354,0.9565217391304348,0.9779393863313021,1132,6,33,429
random_forest,random_forest_001,ablated,3,14,6400,1600,0.978125,0.9976689976689976,0.9264069264069265,0.9991212653778558,0.9607182940516273,0.9807201439451,1137,1,34,428
random_forest,random_forest_001,ablated,4,14,6400,1600,0.985625,1.0,0.9502164502164502,1.0,0.974472807991121,0.9928702668157854,1138,0,23,439
random_forest,random_forest_001,ablated,5,14,6400,1600,0.980625,0.9864559819413092,0.9458874458874459,0.9947275922671354,0.9657458563535911,0.9824129444076721,1132,6,25,437
