Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
Logistic Regression,logistic_001,True,"{""C"": 0.01}",0.999625,0.0005590169943749,1.0,0.0,0.9987012987012986,0.0019359895909088,1.0,0.0,0.9993494757968804,0.000969963322784,1.0,0.0,1.0,0.0,0.1444217205047607,0.0855076999869197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_002,False,"{""C"": 0.01}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1627289295196533,0.0802805999992415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_003,True,"{""C"": 0.1}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2016024589538574,0.065918700012844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_004,False,"{""C"": 0.1}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0578976154327392,0.0262350999983027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_005,True,"{""C"": 1.0}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0197338104248046,0.0292577000218443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_006,False,"{""C"": 1.0}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.021340799331665,0.0358208000543527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_007,True,"{""C"": 10.0}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0228742599487304,0.02945329999784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_008,False,"{""C"": 10.0}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0228882789611816,0.0220591000397689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_001,True,"{""metric"": ""euclidean"", ""n_neighbors"": 69, ""weights"": ""uniform""}",0.997,0.0012808688457449,1.0,0.0,0.9896103896103896,0.0044359094224933,1.0,0.0,0.9947740680720136,0.0022425141239748,1.0,0.0,1.0,0.0,0.0341834068298339,0.0231804000213742,0.998,1.0,0.9930675909878682,1.0,0.9965217391304348,1.0,1.0,1423,0,4,573
k-NN,knn_002,False,"{""metric"": ""euclidean"", ""n_neighbors"": 69, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0315457344055175,0.013533399964217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_003,True,"{""metric"": ""manhattan"", ""n_neighbors"": 69, ""weights"": ""uniform""}",0.98875,0.003365728004459,1.0,0.0,0.961038961038961,0.0116562008812435,1.0,0.0,0.9801036234269056,0.0060623694616526,0.999999809797701,4.253052703875941e-07,0.9999990650098642,2.0907015020478204e-06,0.0327697277069091,0.0154426000081002,0.993,1.0,0.975736568457539,1.0,0.987719298245614,1.0,1.0,1423,0,14,563
k-NN,knn_004,False,"{""metric"": ""manhattan"", ""n_neighbors"": 69, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0232171058654785,0.012950100004673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_005,True,"{""metric"": ""mahalanobis"", ""n_neighbors"": 69, ""weights"": ""uniform""}",0.849,0.0095667882541634,1.0,0.0,0.477056277056277,0.0331317342135531,1.0,0.0,0.6454108059166924,0.0303529009627605,0.9994986267394002,0.0004287540168722,0.9986499822419734,0.0010294127185985,0.0306580543518066,0.0361724999966099,0.8725,1.0,0.5580589254766031,1.0,0.7163515016685206,0.9998367985229047,0.9995100033852486,1423,0,255,322
k-NN,knn_006,False,"{""metric"": ""mahalanobis"", ""n_neighbors"": 69, ""weights"": ""uniform""}",0.8551249999999999,0.011502377471636,1.0,0.0,0.4982683982683982,0.0398350734948433,1.0,0.0,0.6643674339093734,0.035651275925912,0.9994980561325024,0.0005817273654559,0.9987353375394168,0.001218835705898,0.0178280353546142,0.0210952999768778,0.873,1.0,0.5597920277296361,1.0,0.7177777777777777,0.9998684644811472,0.9996025599823478,1423,0,254,323
k-NN,knn_007,True,"{""metric"": ""euclidean"", ""n_neighbors"": 79, ""weights"": ""uniform""}",0.996875,0.0014657549249448,1.0,0.0,0.9891774891774892,0.0050762075322764,1.0,0.0,0.994554060738436,0.002568100581022,1.0,0.0,1.0,0.0,0.0141712188720703,0.0184251999598927,0.9975,1.0,0.9913344887348352,1.0,0.9956483899042646,1.0,1.0,1423,0,5,572
k-NN,knn_008,False,"{""metric"": ""euclidean"", ""n_neighbors"": 79, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0184566020965576,0.0158979999832808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_009,True,"{""metric"": ""manhattan"", ""n_neighbors"": 79, ""weights"": ""uniform""}",0.988625,0.0034629737942987,1.0,0.0,0.9606060606060606,0.0119929828373983,1.0,0.0,0.9798767374371156,0.0062382075101238,1.0,0.0,1.0,5.551115123125783e-17,0.028782033920288,0.0169423999614082,0.993,1.0,0.975736568457539,1.0,0.987719298245614,1.0,1.0,1423,0,14,563
k-NN,knn_010,False,"{""metric"": ""manhattan"", ""n_neighbors"": 79, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0211280345916748,0.0168799000093713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_011,True,"{""metric"": ""mahalanobis"", ""n_neighbors"": 79, ""weights"": ""uniform""}",0.845,0.009238590936934,1.0,0.0,0.4632034632034632,0.0319951201279101,1.0,0.0,0.6326136341996079,0.0298679915266024,0.999558350261338,0.0003914862820146,0.9988133436343546,0.000936437220308,0.0285256385803222,0.0462468999903649,0.861,1.0,0.5181975736568457,1.0,0.682648401826484,0.9998514135805552,0.9995584817439968,1423,0,278,299
k-NN,knn_012,False,"{""metric"": ""mahalanobis"", ""n_neighbors"": 79, ""weights"": ""uniform""}",0.8473749999999999,0.0092954962212891,1.0,0.0,0.4714285714285713,0.0321921947057631,1.0,0.0,0.6402586357565803,0.0296014139082994,0.9996291055166274,0.000330792777132,0.9989950517594594,0.000797935454552,0.0185452461242675,0.0414760999847203,0.8665,1.0,0.537261698440208,1.0,0.6989853438556933,0.9998538494234968,0.9995549160678447,1423,0,267,310
k-NN,knn_013,True,"{""metric"": ""euclidean"", ""n_neighbors"": 89, ""weights"": ""uniform""}",0.996875,0.0011692679333668,1.0,0.0,0.9891774891774892,0.0040494127562488,1.0,0.0,0.9945559686526678,0.0020477618234802,1.0,0.0,1.0,0.0,0.0145692348480224,0.0222421999787911,0.9975,1.0,0.9913344887348352,1.0,0.9956483899042646,1.0,1.0,1423,0,5,572
k-NN,knn_014,False,"{""metric"": ""euclidean"", ""n_neighbors"": 89, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0217174530029296,0.015914799994789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
