Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
k-NN,knn_001,True,"{""metric"": ""euclidean"", ""n_neighbors"": 69, ""weights"": ""uniform""}",0.9970000000000001,0.001280868845744982,1.0,0.0,0.9896103896103897,0.004435909422493344,1.0,0.0,0.9947740680720137,0.002242514123974853,1.0,0.0,1.0,0.0,0.034183406829833986,0.023180400021374226,0.998,1.0,0.9930675909878682,1.0,0.9965217391304347,1.0,1.0,1423,0,4,573
k-NN,knn_002,False,"{""metric"": ""euclidean"", ""n_neighbors"": 69, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03154573440551758,0.013533399964217097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_003,True,"{""metric"": ""manhattan"", ""n_neighbors"": 69, ""weights"": ""uniform""}",0.9887499999999999,0.003365728004459081,1.0,0.0,0.961038961038961,0.011656200881243507,1.0,0.0,0.9801036234269057,0.006062369461652669,0.999999809797701,4.253052703875941e-07,0.9999990650098642,2.0907015020478204e-06,0.03276972770690918,0.015442600008100271,0.993,1.0,0.975736568457539,1.0,0.987719298245614,1.0,1.0,1423,0,14,563
k-NN,knn_004,False,"{""metric"": ""manhattan"", ""n_neighbors"": 69, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.023217105865478517,0.012950100004673004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_005,True,"{""metric"": ""mahalanobis"", ""n_neighbors"": 69, ""weights"": ""uniform""}",0.849,0.00956678825416348,1.0,0.0,0.47705627705627707,0.03313173421355314,1.0,0.0,0.6454108059166924,0.030352900962760537,0.9994986267394002,0.0004287540168722656,0.9986499822419734,0.001029412718598563,0.03065805435180664,0.036172499996609986,0.8725,1.0,0.5580589254766031,1.0,0.7163515016685206,0.9998367985229049,0.9995100033852486,1423,0,255,322
k-NN,knn_006,False,"{""metric"": ""mahalanobis"", ""n_neighbors"": 69, ""weights"": ""uniform""}",0.8551249999999999,0.011502377471636007,1.0,0.0,0.4982683982683982,0.03983507349484336,1.0,0.0,0.6643674339093734,0.03565127592591206,0.9994980561325025,0.000581727365455935,0.9987353375394168,0.0012188357058980465,0.017828035354614257,0.021095299976877868,0.873,1.0,0.5597920277296361,1.0,0.7177777777777777,0.9998684644811472,0.9996025599823478,1423,0,254,323
k-NN,knn_007,True,"{""metric"": ""euclidean"", ""n_neighbors"": 79, ""weights"": ""uniform""}",0.996875,0.0014657549249448498,1.0,0.0,0.9891774891774892,0.005076207532276444,1.0,0.0,0.9945540607384359,0.002568100581022056,1.0,0.0,1.0,0.0,0.014171218872070313,0.01842519995989278,0.9975,1.0,0.9913344887348353,1.0,0.9956483899042646,1.0,1.0,1423,0,5,572
k-NN,knn_008,False,"{""metric"": ""euclidean"", ""n_neighbors"": 79, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01845660209655762,0.015897999983280897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_009,True,"{""metric"": ""manhattan"", ""n_neighbors"": 79, ""weights"": ""uniform""}",0.9886250000000001,0.0034629737942987824,1.0,0.0,0.9606060606060606,0.011992982837398334,1.0,0.0,0.9798767374371156,0.006238207510123866,1.0,0.0,1.0,5.551115123125783e-17,0.028782033920288087,0.016942399961408228,0.993,1.0,0.975736568457539,1.0,0.987719298245614,1.0,1.0,1423,0,14,563
k-NN,knn_010,False,"{""metric"": ""manhattan"", ""n_neighbors"": 79, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.021128034591674803,0.01687990000937134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_011,True,"{""metric"": ""mahalanobis"", ""n_neighbors"": 79, ""weights"": ""uniform""}",0.845,0.009238590936934049,1.0,0.0,0.4632034632034632,0.03199512012791014,1.0,0.0,0.6326136341996079,0.02986799152660247,0.999558350261338,0.00039148628201460484,0.9988133436343546,0.0009364372203080998,0.028525638580322265,0.04624689999036491,0.861,1.0,0.5181975736568457,1.0,0.682648401826484,0.9998514135805551,0.9995584817439969,1423,0,278,299
k-NN,knn_012,False,"{""metric"": ""mahalanobis"", ""n_neighbors"": 79, ""weights"": ""uniform""}",0.8473749999999999,0.009295496221289107,1.0,0.0,0.47142857142857136,0.03219219470576312,1.0,0.0,0.6402586357565803,0.029601413908299415,0.9996291055166274,0.0003307927771320965,0.9989950517594594,0.0007979354545520719,0.018545246124267577,0.04147609998472035,0.8665,1.0,0.537261698440208,1.0,0.6989853438556933,0.9998538494234969,0.9995549160678449,1423,0,267,310
k-NN,knn_013,True,"{""metric"": ""euclidean"", ""n_neighbors"": 89, ""weights"": ""uniform""}",0.996875,0.001169267933366891,1.0,0.0,0.9891774891774892,0.0040494127562488505,1.0,0.0,0.9945559686526678,0.002047761823480224,1.0,0.0,1.0,0.0,0.014569234848022462,0.022242199978791177,0.9975,1.0,0.9913344887348353,1.0,0.9956483899042646,1.0,1.0,1423,0,5,572
k-NN,knn_014,False,"{""metric"": ""euclidean"", ""n_neighbors"": 89, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.02171745300292969,0.015914799994789064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
k-NN,knn_015,True,"{""metric"": ""manhattan"", ""n_neighbors"": 89, ""weights"": ""uniform""}",0.9886250000000001,0.003406106648359696,1.0,0.0,0.9606060606060607,0.011796040340639587,1.0,0.0,0.9798777497438959,0.006132022569793983,1.0,0.0,1.0,7.850462293418876e-17,0.025455713272094727,0.018692400015424937,0.9915,1.0,0.9705372616984402,1.0,0.9850483729111698,1.0,1.0,1423,0,17,560
k-NN,knn_016,False,"{""metric"": ""manhattan"", ""n_neighbors"": 89, ""weights"": ""uniform""}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.022125387191772462,0.018425499962177128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
