Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
MLP,mlp_001,True,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16], ""learning_rate_init"": 0.001}",0.998625,0.000684653196881443,1.0,0.0,0.9952380952380953,0.0023710933225332123,1.0,0.0,0.9976122316207039,0.0011923151109267767,0.9999931527172301,4.774039819991014e-06,0.9999832463439002,1.1664080709169117e-05,0.18872518539428712,0.2661294999998063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
MLP,mlp_002,False,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16], ""learning_rate_init"": 0.001}",0.9966249999999999,0.002884495189803579,0.994370301904232,0.004482234598728267,0.9939393939393939,0.0063843641574686675,0.9977152899824253,0.0018221828957229933,0.9941504112808459,0.0050040849040063565,0.9999197346297521,0.00010717692814347212,0.9998095678769874,0.0002513146333782709,0.24489469528198243,0.40478779998375103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
MLP,mlp_003,True,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16], ""learning_rate_init"": 0.01}",0.99925,0.0008149003006503137,1.0,0.0,0.9974025974025974,0.0028221655433777466,1.0,0.0,0.9986980099988347,0.0014154086352813839,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.172391359738629e-06,0.14673848152160646,0.18931560002965853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
MLP,mlp_004,False,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16], ""learning_rate_init"": 0.01}",0.998625,0.0010269797953221646,0.9974053901774814,0.0018062100934820794,0.9978354978354979,0.002650962925089998,0.998945518453427,0.0007352021322794921,0.9976188075277012,0.0017802577910840806,0.9999844034114684,1.960099061615737e-05,0.9999618626855347,4.801483521866583e-05,0.14622597694396972,0.1827550000161864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
MLP,mlp_005,True,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16], ""learning_rate_init"": 0.001}",0.998625,0.000684653196881443,1.0,0.0,0.9952380952380953,0.0023710933225332123,1.0,0.0,0.9976122316207039,0.0011923151109267767,0.9999931527172301,4.774039819991014e-06,0.9999832463439002,1.1664080709169117e-05,0.17988166809082032,0.2544532000320032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
MLP,mlp_006,False,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16], ""learning_rate_init"": 0.001}",0.9966249999999999,0.002884495189803579,0.994370301904232,0.004482234598728267,0.9939393939393939,0.0063843641574686675,0.9977152899824253,0.0018221828957229933,0.9941504112808459,0.0050040849040063565,0.9999197346297521,0.00010717692814347212,0.9998095678769874,0.0002513146333782709,0.24654216766357423,0.41671019996283576,0.9995,0.9982698961937716,1.0,0.9992972593113141,0.9991341991341991,1.0,1.0,1422,1,0,577
MLP,mlp_007,True,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16], ""learning_rate_init"": 0.01}",0.99925,0.0008149003006503137,1.0,0.0,0.9974025974025974,0.0028221655433777466,1.0,0.0,0.9986980099988347,0.0014154086352813839,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.172391359738629e-06,0.1455690383911133,0.18792590004159138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
MLP,mlp_008,False,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16], ""learning_rate_init"": 0.01}",0.998625,0.0010269797953221646,0.9974053901774814,0.0018062100934820794,0.9978354978354979,0.002650962925089998,0.998945518453427,0.0007352021322794921,0.9976188075277012,0.0017802577910840806,0.9999847838160667,1.9536285448166644e-05,0.9999627777828095,4.7859672118192716e-05,0.14587779045104982,0.1921243999968283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
MLP,mlp_009,True,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001}",0.9984999999999999,0.00143885805415268,1.0,0.0,0.9948051948051948,0.004983058196199716,1.0,0.0,0.9973908204563511,0.0025084327417470606,0.9999984783816067,3.402442163299356e-06,0.9999962700800573,8.340354542576099e-06,0.1881399154663086,0.23642329999711365,0.999,1.0,0.9965337954939342,1.0,0.9982638888888888,1.0,1.0,1423,0,2,575
MLP,mlp_010,False,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001}",0.999125,0.0005590169943749355,0.997413781091061,0.0023545290722888834,0.9995670995670995,0.0009679947954544465,0.998945518453427,0.0009626055492182264,0.9984874174366858,0.0009635576622709491,0.9999992391908034,1.701221081649678e-06,0.9999981340498583,4.1723913597386286e-06,0.16794300079345703,0.21337399998446926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
