Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
Random Forest,random_forest_001,False,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2298553466796875,0.12315900000976399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_002,False,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06017427444458008,0.054734200006350875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_003,False,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05770254135131836,0.042695999960415065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_004,False,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.04628801345825195,0.04060040001058951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_005,False,"{""class_weight"": null, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.035552358627319335,0.042845799995120615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_006,False,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.551115123125783e-17,1.0,0.0,0.04303312301635742,0.05269800004316494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_007,False,"{""class_weight"": null, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03659524917602539,0.0462176000000909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_008,False,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.04166054725646973,0.0388896000222303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_009,False,"{""class_weight"": null, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03454723358154297,0.03179939999245107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_010,False,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.04119749069213867,0.03771330002928153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_011,False,"{""class_weight"": null, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.033652114868164065,0.033237700001336634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_012,False,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 10}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03969759941101074,0.042139999975916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_013,False,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.07543373107910156,0.0699645999702625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_014,False,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.092079496383667,0.10686119995079935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_015,False,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.551115123125783e-17,1.0,0.0,0.08571162223815917,4.953944100008812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_016,False,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.534314775466919,0.26900660002138466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_017,False,"{""class_weight"": null, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.20996718406677245,0.1981720000039786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_018,False,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.17617392539978027,0.16195440001320094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_019,False,"{""class_weight"": null, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09948139190673828,0.0982170999632217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Random Forest,random_forest_020,False,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.551115123125783e-17,1.0,0.0,0.09914741516113282,0.10021270002471283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
