Feature,Perceptron Mean Importance,Perceptron Importance Std,Perceptron Mean Fold Rank,Perceptron Top 3 Frequency,Perceptron Rank,SHAP Mean Importance,SHAP Importance Std,SHAP Mean Fold Rank,SHAP Top 3 Frequency,SHAP Rank,Consensus Rank Score,Both Top 3,Consensus Rank,Consensus Top 3
Negative Symptom Score,6.567490530099109,0.7880268814569797,1.8,1.0,1,0.13288026677265868,0.006933256625606528,1.0,1.0,1,1.0,True,1,True
GAF Score,5.961792451022672,0.9668438504632841,2.4,1.0,3,0.09583174653328146,0.0029604133845018035,2.2,1.0,2,2.5,True,2,True
Positive Symptom Score,6.213710436564567,1.169251156327851,2.2,0.8,2,0.09074089395478947,0.0035330804006320055,2.8,1.0,3,2.5,True,3,True
Hospitalizations,4.46566322270637,0.8912145748840101,3.6,0.2,4,0.06728885848416523,0.0016088234288091936,4.0,0.0,4,4.0,False,4,False
Suicide Attempt,2.8105443607783513,1.1730517870585504,5.4,0.0,5,0.014718893653688656,0.000591135840319752,6.0,0.0,6,5.5,False,5,False
Substance Use,1.9888543819998319,0.5527864045000421,6.6,0.0,6,0.008787401158256599,0.00042507420281012953,7.0,0.0,7,6.5,False,6,False
Family History,1.4944271909999158,0.677022313886423,7.8,0.0,10,0.017839091058697843,0.0005046558210492645,5.0,0.0,5,7.5,False,7,False
Education Level,1.9699876147266095,0.6316138039021193,7.2,0.0,7,0.0003136949314746878,0.00011383035406411619,11.6,0.0,11,9.0,False,8,False
Medication Adherence,1.3936237570137333,0.5676847979809377,9.4,0.0,12,0.007611471558264933,0.0009180456683847691,8.0,0.0,8,10.0,False,9,False
Income Level,1.1464101615137754,0.3273830737415254,10.0,0.0,14,0.0003384747748306297,0.0001438844573347374,11.4,0.0,9,11.5,False,10,False
Marital Status,1.7227740192266516,0.7348891741936748,7.4,0.0,8,0.0002359475926322328,0.00020573516867467614,14.4,0.0,16,12.0,False,11,False
Gender,1.247213595499958,0.5527864045000421,9.2,0.0,13,0.0002830733748269751,0.0002604573148446791,13.2,0.0,12,12.5,False,12,False
Occupation,1.4755604237266937,0.7269125084316376,9.6,0.0,11,0.00023935866590882307,0.00012364183552170474,13.4,0.0,14,12.5,False,13,False
Stress Factors,1.0,0.0,10.4,0.0,16,0.0003185689281181935,4.168589905189526e-05,11.4,0.0,10,13.0,False,14,False
Social Support,1.6408373525136912,0.6201338389773818,7.4,0.0,9,0.00019591246869569376,6.70134703966756e-05,14.4,0.0,17,13.0,False,15,False
Age,0.484642466122921,0.4456678149182012,15.8,0.0,17,0.00026019435217879133,0.0001253768845875951,12.8,0.0,13,15.0,False,16,False
Living Area,1.0,0.0,10.4,0.0,15,0.00023649938247447309,7.566780812946975e-05,14.4,0.0,15,15.0,False,17,False
