Feature,Mean Importance,Importance Std,Mean Rank,Rank Std,Top 3 Frequency,Overall Rank
Negative Symptom Score,6.567490530099109,0.7880268814569797,1.8,0.8366600265340756,1.0,1
Positive Symptom Score,6.213710436564567,1.169251156327851,2.2,1.3038404810405297,0.8,2
GAF Score,5.961792451022672,0.9668438504632841,2.4,0.8944271909999159,1.0,3
Hospitalizations,4.46566322270637,0.8912145748840101,3.6,0.8944271909999159,0.2,4
Suicide Attempt,2.8105443607783513,1.1730517870585504,5.4,0.894427190999916,0.0,5
Substance Use,1.9888543819998319,0.5527864045000421,6.6,1.140175425099138,0.0,6
Education Level,1.9699876147266095,0.6316138039021193,7.2,2.949576240750525,0.0,7
Marital Status,1.7227740192266516,0.7348891741936748,7.4,2.073644135332772,0.0,8
Social Support,1.6408373525136912,0.6201338389773818,7.4,2.0736441353327724,0.0,9
Family History,1.4944271909999158,0.677022313886423,7.8,2.7748873851023217,0.0,10
Occupation,1.4755604237266937,0.7269125084316376,9.6,3.286335345030997,0.0,11
Medication Adherence,1.3936237570137333,0.5676847979809377,9.4,2.073644135332772,0.0,12
Gender,1.247213595499958,0.5527864045000421,9.2,2.7748873851023217,0.0,13
Income Level,1.1464101615137754,0.3273830737415254,10.0,2.1213203435596424,0.0,14
Living Area,1.0,0.0,10.4,2.3021728866442674,0.0,15
Stress Factors,1.0,0.0,10.4,2.3021728866442674,0.0,16
Age,0.484642466122921,0.4456678149182012,15.8,2.6832815729997477,0.0,17
