Fold,Feature,Importance,Mean Signed SHAP
1,Age,0.00028030507123928314,-4.110204780167186e-05
1,Hospitalizations,0.06536635916921371,-0.009688526818579155
1,Positive Symptom Score,0.08556845995780515,0.012623061885441943
1,Negative Symptom Score,0.14080018984140838,0.008547649179428712
1,GAF Score,0.09613848248893846,-0.012787519856797061
1,Gender,3.689193369267341e-05,8.074244373496097e-06
1,Education Level,0.0004899126331331629,-4.905304584998198e-06
1,Marital Status,0.00017151109764335256,1.4794631580370423e-05
1,Occupation,0.0002726958411735808,-2.83497496832904e-06
1,Income Level,0.0003652360614634473,4.3750896762386374e-05
1,Living Area,0.00021355415177368563,5.77703425976594e-07
1,Family History,0.01802491705800443,-0.0005294467900431525
1,Substance Use,0.00879711921058569,-6.701980022879445e-05
1,Suicide Attempt,0.01418219010160769,0.0003655666266751725
1,Social Support,0.00018707664922957293,3.4965843371628334e-05
1,Stress Factors,0.0003325058356919485,4.7353517820604164e-05
1,Medication Adherence,0.006287804574103734,-0.0002831889358771393
2,Age,0.0001915788013089513,7.12433525718544e-05
2,Hospitalizations,0.0671849926060574,-0.011707125690996962
2,Positive Symptom Score,0.09295875960192479,0.011732534804852203
2,Negative Symptom Score,0.13710046132401627,0.014935022721726296
2,GAF Score,0.09098262825964769,-0.01548050128945137
2,Gender,0.00019429876324871234,1.2143768843378926e-05
2,Education Level,0.000250241418638228,-7.755357050715616e-06
2,Marital Status,0.00016089495234356376,-1.570574086994543e-05
2,Occupation,0.00038622409593414036,2.525029678067682e-05
2,Income Level,0.00024432514773071697,1.4786471979732641e-05
2,Living Area,0.00015647831747737955,-8.717138278571905e-06
2,Family History,0.017349703280728518,-6.099140096301504e-05
2,Substance Use,0.008303730632791297,-2.051915398518728e-05
2,Suicide Attempt,0.01486505099669719,-0.002159572790674185
2,Social Support,0.0001730091227572126,1.9282159019359708e-05
2,Stress Factors,0.00032381029952697213,7.549383313331785e-05
2,Medication Adherence,0.008127206174830261,0.0003511728200297877
3,Age,0.00032453823869817784,2.1104442488193415e-05
3,Hospitalizations,0.06610815959113539,-0.009387836484377639
3,Positive Symptom Score,0.08958929507873543,0.009130061546319568
3,Negative Symptom Score,0.13364182284996148,0.013104351694271522
3,GAF Score,0.09617887407183964,-0.013276245431978036
3,Gender,0.0004446642961233728,4.206206125572799e-05
3,Education Level,0.00021410117240243352,-1.5023580680290261e-05
3,Marital Status,0.0006018449755150049,-1.5659905951449297e-05
3,Occupation,0.0002931110151014077,4.290692997153414e-05
3,Income Level,0.00030937785231680595,-1.6794997541507082e-05
3,Living Area,0.00025267203155542815,-2.9111321711207764e-07
3,Family History,0.01745722815643386,-0.0003122954691932098
3,Substance Use,0.00918160362496012,-6.988815538298257e-05
3,Suicide Attempt,0.015293713407522183,-0.0009406699087888526
3,Social Support,0.00017096875256499987,4.7451338349671714e-07
3,Stress Factors,0.0003600417762937222,3.8080513899091834e-05
3,Medication Adherence,0.007223284902583481,5.1496678855274325e-05
4,Age,0.0004158280949741875,-3.852961199249228e-05
4,Hospitalizations,0.06912667631591023,-0.011220231553887744
4,Positive Symptom Score,0.09485566890891561,0.01531968104568013
4,Negative Symptom Score,0.12269189019013492,0.011808598327591489
4,GAF Score,0.09905355713542217,-0.017201981988201945
4,Gender,8.539133517454839e-05,2.4356958438333827e-05
4,Education Level,0.0003651817597889667,-1.152093615083525e-05
4,Marital Status,0.0001203314442296643,1.7527114075696233e-05
4,Occupation,0.0001864577708420186,-8.666245229933248e-06
4,Income Level,0.0005707409043026336,-3.2046335019720737e-06
4,Living Area,0.000357176511063337,-3.627083552982128e-05
4,Family History,0.018608391912188903,0.0012079184260575424
4,Substance Use,0.008420984962137066,0.00034600940110728046
4,Suicide Attempt,0.015235426552009658,-0.00024729389316782593
4,Social Support,0.00013727137560272113,-1.1384334063046262e-05
4,Stress Factors,0.00032805461045996257,-1.3303667915094981e-05
4,Medication Adherence,0.007716015275472524,0.00021412976002354748
5,Age,8.872155467335691e-05,4.87796903240158e-06
5,Hospitalizations,0.06865810473850939,-0.009538105113687155
5,Positive Symptom Score,0.09073228622656634,0.011063111830901745
5,Negative Symptom Score,0.13016696965777244,0.009429881058477698
5,GAF Score,0.09680519071055933,-0.011660993705440641
5,Gender,0.0006541205458955684,-2.4708639609295897e-05
5,Education Level,0.0002490376734106478,1.5589953650619122e-05
5,Marital Status,0.00012515549342957859,7.961365912789335e-07
5,Occupation,5.8304606492967924e-05,1.052446453722053e-05
5,Income Level,0.00020269390833954452,1.1650136354416916e-05
5,Living Area,0.0002026159005025351,9.178864992668122e-06
5,Family History,0.017755214886133505,-0.0007900737643575279
5,Substance Use,0.009233567360808818,0.00044695485778202044
5,Suicide Attempt,0.014018087210606555,0.00033852562595796553
5,Social Support,0.0003112364433239623,-4.378184776146455e-06
5,Stress Factors,0.00024843211861836197,-1.739907186957315e-05
5,Medication Adherence,0.008703046864334665,0.0005847759147956453
