Feature,Mean Importance,Importance Std,Mean Rank,Rank Std,Top 3 Frequency,Overall Rank,Mean Signed SHAP
Negative Symptom Score,0.13288026677265868,0.006933256625606528,1.0,0.0,1.0,1,0.011565100596299144
GAF Score,0.09583174653328146,0.0029604133845018035,2.2,0.447213595499958,1.0,2,-0.01408144845437381
Positive Symptom Score,0.09074089395478947,0.0035330804006320055,2.8,0.447213595499958,1.0,3,0.011973690222639118
Hospitalizations,0.06728885848416523,0.0016088234288091936,4.0,0.0,0.0,4,-0.01030836513230573
Family History,0.017839091058697843,0.0005046558210492645,5.0,0.0,0.0,5,-9.697779969987256e-05
Suicide Attempt,0.014718893653688656,0.000591135840319752,6.0,0.0,0.0,6,-0.0005286888679995451
Substance Use,0.008787401158256599,0.00042507420281012953,7.0,0.0,0.0,7,0.00012710742985846732
Medication Adherence,0.007611471558264933,0.0009180456683847691,8.0,0.0,0.0,8,0.00018367724756542311
Income Level,0.0003384747748306297,0.0001438844573347374,11.4,1.816590212458495,0.0,9,1.0037574810611356e-05
Stress Factors,0.0003185689281181935,4.168589905189526e-05,11.4,1.140175425099138,0.0,10,2.6045025013669144e-05
Education Level,0.0003136949314746878,0.00011383035406411619,11.6,2.6076809620810595,0.0,11,-4.7230449632440404e-06
Gender,0.0002830733748269751,0.0002604573148446791,13.2,3.7682887362833544,0.0,12,1.238567866032819e-05
Age,0.00026019435217879133,0.0001253768845875951,12.8,2.2803508501982757,0.0,13,3.5188208596570516e-06
Occupation,0.00023935866590882307,0.00012364183552170474,13.4,2.8809720581775866,0.0,14,1.343609421823384e-05
Living Area,0.00023649938247447309,7.566780812946975e-05,14.4,1.8165902124584952,0.0,15,-7.104503721372109e-06
Marital Status,0.0002359475926322328,0.00020573516867467614,14.4,3.0495901363953815,0.0,16,3.504470851901724e-07
Social Support,0.00019591246869569376,6.70134703966756e-05,14.4,2.6076809620810595,0.0,17,7.791999387058409e-06
